Date,Description,Amount,Type,UPI_ID,Balance
2024-01-23,Transfer to Rahul,-5000.00,Debit,rahulmehra@okicici,76886.00
2024-01-24,Zomato Order #13001,-720.00,Debit,zomato@icici,76166.00
2024-01-24,Swiggy Order,-350.00,Debit,swiggy@yesbank,75816.00
2024-01-25,Flipkart Sale Purchase,-3499.00,Debit,flipkart@yesbank,72317.00
2024-01-26,Rapido Bike Taxi,-65.00,Debit,rapido@axisbank,72252.00
2024-01-27,Udemy Course,-1299.00,Debit,udemy@paytm,70953.00
2024-01-28,Medical Test Thyrocare,-850.00,Debit,thyrocare@hdfcbank,70103.00
2024-01-29,Swiggy Order,-450.00,Debit,swiggy@yesbank,69653.00
2024-01-30,Gas Cylinder Booking,-900.00,Debit,hpgas@okhdfc,68753.00
2024-01-31,Spotify Premium,-119.00,Debit,spotify@axis,68634.00
2024-01-31,House Rent,-25000.00,Debit,landlord@sbi,43634.00
2024-02-01,Zomato Order #13200,-510.00,Debit,zomato@icici,43124.00
2024-02-01,Swiggy Order,-480.00,Debit,swiggy@yesbank,42644.00
2024-02-02,Metro Card Recharge,-500.00,Debit,nmrc@hdfcbank,42144.00
2024-02-03,Myntra Fashion,-2199.00,Debit,myntra@kotak,39945.00
2024-02-04,Swiggy Order,-280.00,Debit,swiggy@yesbank,39665.00
2024-02-05,Amazon Pantry,-1650.00,Debit,amazon@apl,38015.00
2024-02-06,Salary Credit,85000.00,Credit,employer@hdfcbank,123015.00
2024-02-07,HDFC Credit Card Bill,-15000.00,Debit,hdfcbank@hdfcbank,108015.00
2024-02-08,Zomato Order #13450,-890.00,Debit,zomato@icici,107125.00
2024-02-09,Uber Ride,-250.00,Debit,uber@axl,106875.00
2024-02-10,Netflix Subscription,-649.00,Debit,netflix@axisbank,106226.00
2024-02-10,Hotstar Premium,-299.00,Debit,hotstar@axisbank,105927.00
2024-02-11,OYO Room Booking,-2800.00,Debit,oyorooms@icici,103127.00
2024-02-12,Zomato Binge,-1200.00,Debit,zomato@icici,101927.00
2024-02-12,Swiggy Order,-540.00,Debit,swiggy@yesbank,101387.00
2024-02-13,IRCTC Train Ticket,-1450.00,Debit,irctc@irctcpay,99937.00
2024-02-14,Flowers & Gift Shop,-850.00,Debit,ferns@okhdfc,99087.00
2024-02-15,BigBasket,-2100.00,Debit,bigbasket@axisbank,96987.00
2024-02-16,Ola Outstation,-3200.00,Debit,ola@hdfcbank,93787.00
2024-02-17,Zerodha SIP,-10000.00,Debit,zerodha@hdfcbank,83787.00
2024-02-18,Electricity Bill BESCOM,-1200.00,Debit,bescom@okhdfc,82587.00
2024-02-19,Zomato Order,-430.00,Debit,zomato@icici,82157.00
2024-02-19,Swiggy Order,-370.00,Debit,swiggy@yesbank,81787.00
2024-02-20,Gym Cult,-1499.00,Debit,cultsport@axis,80288.00
2024-02-21,Amazon Electronics,-8999.00,Debit,amazon@apl,71289.00
2024-02-22,Uber Ride,-190.00,Debit,uber@axl,71099.00
2024-02-23,Swiggy Dineout,-1800.00,Debit,swiggy@yesbank,69299.00
2024-02-24,Airtel Postpaid Bill,-799.00,Debit,airtel@airtel,68500.00
2024-02-25,BookMyShow Concert,-2500.00,Debit,bms@icici,66000.00
2024-02-26,Petrol HPCL,-2000.00,Debit,hpcl@okhdfc,64000.00
2024-02-27,Zomato Order #14100,-670.00,Debit,zomato@icici,63330.00
2024-02-28,Transfer to Mom,-10000.00,Debit,mom@sbi,53330.00
2024-02-28,House Rent,-25000.00,Debit,landlord@sbi,28330.00
2024-02-29,Spotify Premium,-119.00,Debit,spotify@axis,28211.00
2024-03-01,Nykaa Beauty,-1350.00,Debit,nykaa@axis,26861.00
2024-03-01,Swiggy Order,-520.00,Debit,swiggy@yesbank,26341.00
2024-03-02,Zomato Order,-490.00,Debit,zomato@icici,25851.00
2024-03-03,Metro Recharge,-1000.00,Debit,nmrc@hdfcbank,24851.00
2024-03-04,DMart Shopping,-3100.00,Debit,dmart@dmart,21751.00
2024-03-05,Amazon Order,-2499.00,Debit,amazon@apl,19252.00
2024-03-06,Salary Credit,85000.00,Credit,employer@hdfcbank,104252.00
2024-03-06,Freelance Payment,15000.00,Credit,client@icici,119252.00
2024-03-07,Zomato Order,-480.00,Debit,zomato@icici,118772.00
2024-03-07,Swiggy Order,-310.00,Debit,swiggy@yesbank,118462.00
2024-03-08,Uber Premium,-350.00,Debit,uber@axl,118112.00
2024-03-09,Jio Recharge,-399.00,Debit,jio@jiomoney,117713.00
2024-03-10,Medical Checkup Apollo,-1500.00,Debit,apollohospital@hdfc,116213.00
2024-03-11,Zerodha SIP,-10000.00,Debit,zerodha@hdfcbank,106213.00
2024-03-12,Swiggy Order,-610.00,Debit,swiggy@yesbank,105603.00
2024-03-13,Amazon Clothes,-1899.00,Debit,amazon@apl,103704.00
2024-03-14,IRCTC Tatkal Ticket,-2200.00,Debit,irctc@irctcpay,101504.00
2024-03-15,BigBasket,-1950.00,Debit,bigbasket@axisbank,99554.00
2024-03-16,Netflix Subscription,-649.00,Debit,netflix@axisbank,98905.00
2024-03-17,Cult Gym,-1499.00,Debit,cultsport@axis,97406.00
2024-03-18,Electricity Bill BESCOM,-1200.00,Debit,bescom@okhdfc,96206.00
2024-03-19,Zomato Party Order,-3400.00,Debit,zomato@icici,92806.00
2024-03-19,Swiggy Order,-420.00,Debit,swiggy@yesbank,92386.00
2024-03-20,Uber Ride,-160.00,Debit,uber@axl,92226.00
2024-03-21,Flipkart Sale,-5499.00,Debit,flipkart@yesbank,86727.00
2024-03-21,Unknown Merchant Payment,-8000.00,Debit,unknown@paytm,78727.00
2024-03-22,Petrol Pump HPCL,-2200.00,Debit,hpcl@okhdfc,76527.00
2024-03-23,Swiggy Order,-390.00,Debit,swiggy@yesbank,76137.00
2024-03-24,Transfer to Friend,-3000.00,Debit,friend@okicici,73137.00
2024-03-25,Hotstar Annual,-1499.00,Debit,hotstar@axisbank,71638.00
2024-03-26,Ola Cab,-280.00,Debit,ola@hdfcbank,71358.00
2024-03-27,Pharmacy Medplus,-560.00,Debit,medplus@icici,70798.00
2024-03-28,Zomato Midnight Order,-650.00,Debit,zomato@icici,70148.00
2024-03-29,Amazon Fresh,-1200.00,Debit,amazon@apl,68948.00
2024-03-30,Groww Investment,-5000.00,Debit,groww@axis,63948.00
2024-03-31,Spotify Premium,-119.00,Debit,spotify@axis,63829.00
2024-03-31,House Rent,-25000.00,Debit,landlord@sbi,38829.00
2024-03-31,Airtel Postpaid Bill,-799.00,Debit,airtel@airtel,38030.00
2024-03-31,Mandir,-30.00,Debit,jaishree@paytm,38000.00
